| Source IP       | Source Port | Destination IP  | Destination Port | Protocol  | TTL | Length | Packet Type  | TCP Flags   |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 111    | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 37866       | 157.240.227.60  | 443              | TCP       | 64  | 79     | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37866            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 37866       | 157.240.227.60  | 443              | TCP       | 64  | 64     | HTTPS        | PSH,ACK     |
| 192.168.163.131 | 37866       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | FIN,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37866            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 37866            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 157.240.227.60  | 443         | 192.168.163.131 | 37866            | TCP       | 128 | 64     | HTTPS        | FIN,PSH,ACK |
| 192.168.163.131 | 37866       | 157.240.227.60  | 443              | TCP       | 64  | 40     | HTTPS        | RST         |
| 192.168.163.131 | 37872       | 157.240.227.60  | 443              | TCP       | 64  | 109    | HTTPS        | PSH,ACK     |
| 157.240.227.60  | 443         | 192.168.163.131 | 37872            | TCP       | 128 | 40     | HTTPS        | ACK         |
| 192.168.163.131 | 59074       | 157.240.227.60  | 5222             | TCP       | 64  | 79     | TCP          | PSH,ACK     |
| 157.240.227.60  | 5222        | 192.168.163.131 | 59074            | TCP       | 128 | 40     | TCP          | ACK         |
| 192.168.163.131 | 59074       | 157.240.227.60  | 5222             | TCP       | 64  | 64     | TCP          | PSH,ACK     |
