Source IP,Source Port,Destination IP,Destination Port,Protocol,TTL,Length,Packet Type,TCP Flags
127.0.0.1,6004,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,5985,TCP,59,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,3323,TCP,38,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,3323,TCP,38,44,TCP,SYN
127.0.0.1,3323,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,3323,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,3998,TCP,50,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,3998,TCP,50,44,TCP,SYN
127.0.0.1,3998,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,3998,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1500,TCP,55,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1500,TCP,55,44,TCP,SYN
127.0.0.1,1500,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1500,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1165,TCP,51,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1165,TCP,51,44,TCP,SYN
127.0.0.1,1165,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1165,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,555,TCP,59,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,555,TCP,59,44,TCP,SYN
127.0.0.1,555,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,555,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,1272,TCP,51,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,1272,TCP,51,44,TCP,SYN
127.0.0.1,1272,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,1272,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,43777,127.0.0.1,4445,TCP,54,44,TCP,SYN
127.0.0.1,43777,127.0.0.1,4445,TCP,54,44,TCP,SYN
127.0.0.1,4445,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
127.0.0.1,4445,127.0.0.1,43777,TCP,64,40,TCP,"RST,ACK"
